actor,control_action_types,episode_id,events_tail_json,extra_mortal_action_ids_json,hand_json,iteration,last_discard_json,legal_action_count,legal_action_keys_json,legal_action_types_json,mismatch_kind,missing_legal_keys_json,missing_legal_types_json,mortal_mask_true_ids_json,pilot_config_id,replay_hint,rollout_seed,source_action_ids_json,step_index,torch_seed
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",e1a0f104,[],[42],"""""",0,"""""",6,"[""0|tile=2|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=28|consumed=|from=-1|flags=1""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[2,6,8,14,16,28,42]",0,,202604330000,"[[2],[14],[6],[16],[8],[28]]",207,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",e1a0f104,[],[42],"""""",0,"""""",9,"[""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=1"",""0|tile=26|consumed=|from=-1|flags=0"",""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0"",""0|tile=30|consumed=|from=-1|flags=0"",""0|tile=28|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[6,16,24,25,26,27,28,30,32,42]",0,,202604330000,"[[6],[24],[16],[25],[26],[27],[32],[30],[28]]",287,202604330000
2,"PASS,RON,PON,CHI",32f328a5,[],[42],"""""",0,"""""",2,"[""5|tile=32|consumed=32,32|from=0|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",210,202604330000
3,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",7e07c092,[],[42],"""""",0,"""""",8,"[""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=27|consumed=|from=-1|flags=1"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[5,7,8,13,14,27,29,35,42]",0,,202604330000,"[[13,35],[13,35],[5],[14],[7],[8],[27],[29]]",160,202604330000
3,"PASS,RON,PON,CHI",e8bc3ffc,[],[42],"""""",0,"""""",3,"[""5|tile=22|consumed=22,22|from=2|flags=0"",""4|tile=22|consumed=23,24|from=2|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""CHI"",""PASS""]",extra_mortal,[],[],"[38,41,42,45]",0,,202604330000,"[[41],[38],[45]]",151,202604330000
2,"PASS,RON,PON,CHI",955e8de7,[],[42],"""""",0,"""""",2,"[""5|tile=2|consumed=2,2|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",163,202604330000
3,"PASS,RON,PON,CHI",955e8de7,[],[42],"""""",0,"""""",2,"[""5|tile=4|consumed=4,4|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",212,202604330000
0,"PASS,RON,PON,CHI",1ece0928,[],[42],"""""",0,"""""",2,"[""5|tile=16|consumed=16,16|from=2|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",241,202604330000
1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",eb554e3f,[],[42],"""""",0,"""""",5,"[""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=1""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,15,17,29,32,42]",0,,202604330000,"[[4,34],[15],[17],[32],[29]]",285,202604330000
1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",66c40d63,[],[42],"""""",0,"""""",6,"[""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=1"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,5,7,16,17,23,42]",0,,202604330000,"[[4,34],[5],[23],[7],[16],[17]]",238,202604330000
